2024-09-09-пн, 03:31:19, ./docker_run.sh->Run()
2024-09-09-пн, 03:31:19, ./docker_run.sh->sys_Services( start)
2024-09-09-пн, 03:31:19, ./docker_run.sh, sys_ExecM(/etc/init.d/acpid start 2>/dev/null)
2024-09-09-пн, 03:31:25, ./docker_run.sh, sys_ExecM(/etc/init.d/alsa-utils start 2>/dev/null)
2024-09-09-пн, 03:31:25, ./docker_run.sh, sys_ExecM(/etc/init.d/anacron start 2>/dev/null)
2024-09-09-пн, 03:31:29, ./docker_run.sh, sys_ExecM(/etc/init.d/apache2 start 2>/dev/null)
2024-09-09-пн, 03:31:32, ./docker_run.sh, sys_ExecM(/etc/init.d/apache-htcacheclean start 2>/dev/null)
2024-09-09-пн, 03:31:57, ./docker_run.sh, sys_ExecM(/etc/init.d/apparmor start 2>/dev/null)
2024-09-09-пн, 03:32:02, ./docker_run.sh, sys_ExecM(/etc/init.d/apport start 2>/dev/null)
2024-09-09-пн, 03:32:08, ./docker_run.sh, sys_ExecM(/etc/init.d/autofs start 2>/dev/null)
2024-09-09-пн, 03:32:15, ./docker_run.sh, sys_ExecM(/etc/init.d/avahi-daemon start 2>/dev/null)
2024-09-09-пн, 03:32:20, ./docker_run.sh, sys_ExecM(/etc/init.d/bluetooth start 2>/dev/null)
2024-09-09-пн, 03:32:25, ./docker_run.sh, sys_ExecM(/etc/init.d/console-setup.sh start 2>/dev/null)
2024-09-09-пн, 03:32:28, ./docker_run.sh, sys_ExecM(/etc/init.d/cron start 2>/dev/null)
2024-09-09-пн, 03:32:34, ./docker_run.sh, sys_ExecM(/etc/init.d/cups start 2>/dev/null)
2024-09-09-пн, 03:32:38, ./docker_run.sh, sys_ExecM(/etc/init.d/cups-browsed start 2>/dev/null)
2024-09-09-пн, 03:32:41, ./docker_run.sh, sys_ExecM(/etc/init.d/dbus start 2>/dev/null)
2024-09-09-пн, 03:32:44, ./docker_run.sh, sys_ExecM(/etc/init.d/docker start 2>/dev/null)
2024-09-09-пн, 03:32:47, ./docker_run.sh, sys_ExecM(/etc/init.d/grub-common start 2>/dev/null)
2024-09-09-пн, 03:32:53, ./docker_run.sh, sys_ExecM(/etc/init.d/hwclock.sh start 2>/dev/null)
2024-09-09-пн, 03:32:53, ./docker_run.sh, sys_ExecM(/etc/init.d/irqbalance start 2>/dev/null)
2024-09-09-пн, 03:32:58, ./docker_run.sh, sys_ExecM(/etc/init.d/kerneloops start 2>/dev/null)
2024-09-09-пн, 03:33:02, ./docker_run.sh, sys_ExecM(/etc/init.d/keyboard-setup.sh start 2>/dev/null)
2024-09-09-пн, 03:33:06, ./docker_run.sh, sys_ExecM(/etc/init.d/kmod start 2>/dev/null)
2024-09-09-пн, 03:33:08, ./docker_run.sh, sys_ExecM(/etc/init.d/lightdm start 2>/dev/null)
2024-09-09-пн, 03:33:23, ./docker_run.sh, sys_ExecM(/etc/init.d/lm-sensors start 2>/dev/null)
2024-09-09-пн, 03:33:27, ./docker_run.sh, sys_ExecM(/etc/init.d/nfs-common start 2>/dev/null)
2024-09-09-пн, 03:33:27, ./docker_run.sh, sys_ExecM(/etc/init.d/openbsd-inetd start 2>/dev/null)
2024-09-09-пн, 03:33:30, ./docker_run.sh, sys_ExecM(/etc/init.d/openvpn start 2>/dev/null)
